Name,Price,Category
Frambuazlı Tart 6-8 Kişilik,"43,90 TL",Galetalar
Çilekli Pasta 4-6 Kişilik,"32,90 TL",Galetalar
Frambuazlı Tart 4-6 Kişilik,"37,90 TL",Galetalar
Özel Profiterollü Pasta 4-6 Kişilik,"55,00 TL",Galetalar
Özel Meyveli Pasta 6-8 Kişilik,"65,00 TL",Yaş Pastalar
Çikolatalı Pasta 6-8 Kişilik,"32,90 TL",Yaş Pastalar
Frambuazlı Pasta 6-8 Kişilik,"32,90 TL",Yaş Pastalar
Pasta Kestaneli 4-6 Kişilik,"32,90 TL",Yaş Pastalar
Vişneli Çikolatalı Pasta 6-8 Kişilik,"32,90 TL",Yaş Pastalar
Vişneli Çikolatalı Pasta 4-6 Kişilik,"28,50 TL",Yaş Pastalar
Baton Pasta Büyük,"32,90 TL",Yaş Pastalar
Büyük Ekler 2'li,"11,50 TL",Yaş Pastalar
Krokanlı Pasta 6-8 Kişilik,"39,50 TL",Yaş Pastalar
Cevizli Tart 4-6 Kişilik,"50,50 TL",Yaş Pastalar
Krokanlı Pasta 4-6 Kişilik,"32,90 TL",Yaş Pastalar
Cevizli Tart 6-8 Kişilik,"61,50 TL",Yaş Pastalar
Özel Frambuazlı Pasta 4-6 Kişilik,"55,00 TL",Yaş Pastalar
Özel Krokanlı Pasta 4-6 Kişilik,"55,00 TL",Yaş Pastalar
Özel Muzlu Pasta 6-8 Kişilik,"65,00 TL",Yaş Pastalar
Kütük Pasta,"39,50 TL",Yaş Pastalar
Özel Muzlu Pasta 4-6 Kişilik,"55,00 TL",Yaş Pastalar
Özel Kestaneli Pasta 6 -8 Kişilik,"65,00 TL",Yaş Pastalar
Özel Vişneli Pasta 4-6 Kişilik,"55,00 TL",Yaş Pastalar
Özel Vişneli Pasta 6-8 Kişilik,"65,00 TL",Yaş Pastalar
Krokanlı Muzlu Pasta 4-6 Kişilik,"55,00 TL",Yaş Pastalar
Özel Frambuazlı Yaş Pasta 6-8 Kişilik,"65,00 TL",Yaş Pastalar
Özel Krokanlı Pasta 6-8 Kişilik,"65,00 TL",Yaş Pastalar
Elmalı Tart 4-6 Kişilik,"37,90 TL",Yaş Pastalar
Rulo Pasta Adet,"37,00 TL",Yaş Pastalar
Çilekli Pasta 6-8 Kişilik,"39,50 TL",Yaş Pastalar
Çilekli Tart 6-8 Kişilik,"43,90 TL",Yaş Pastalar
Frambuazlı Pasta 4-6 Kişilik,"28,50 TL",Yaş Pastalar
Mozaik Pasta Adet,"21,90 TL",Tek Pastalar
Çikolatalı Tekli Pasta,"7,50 TL",Tek Pastalar
Meyveli Pasta Tekli,"7,50 TL",Tek Pastalar
Mozaik Pasta Dilim,"11,00 TL",Tek Pastalar
Tekli Pasta Adet,"11,00 TL",Tek Pastalar
Çilekli Mois Tekli Pasta,"11,00 TL",Tek Pastalar
Tekli Pasta Vişneli,"11,00 TL",Tek Pastalar
Hasbahçe Tekli Pasta,"11,00 TL",Tek Pastalar
Tekli Pasta Kestaneli,"11,00 TL",Tek Pastalar
Tekli Pasta Çikolatalı,"11,00 TL",Tek Pastalar
Dr.Oetker Puding Çikolatalı Portakallı 102 g,"2,07 TL",Tek Pastalar
Dr. Oetker Antep Fıstıklı Puding 96 g,"2,07 TL",Tek Pastalar
Kenton Neşeli Tatlar Çilekli Puding 100 g,"1,75 TL",Tek Pastalar
Pakmaya İncirli Puding 84 g,"2,12 TL",Tek Pastalar
Pakmaya Karamelli Puding 84  g,"2,12 TL",Tek Pastalar
Dr. Oetker Toz Puding Vanilyalı 125 g,"2,07 TL",Tek Pastalar
Carte D'or Puding Çilekli 123 g,"2,28 TL",Tek Pastalar
Carte D'or Puding Çikolatalı Fındıklı 109 g,"2,28 TL",Tek Pastalar
Carte D'or Kakaolu Puding 154 gr,"2,07 TL",Tek Pastalar
